episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
201,19.25000000000017,76,0.05,0,50,0.07,0.03,0.6915422885572139,76,0.0,1.3571428571428572
202,-12.899999999999764,99,0.05,0,50,0.07,0.03,0.6881188118811881,99,0.010101010101010102,2.8285714285714287
203,308.1500000000001,57,0.05,1,50,0.07,0.03,0.6896551724137931,58,0.0,1.5675675675675675
204,-26.799999999999883,57,0.05,0,50,0.07,0.03,0.6862745098039216,57,0.03508771929824561,1.6285714285714286
205,-60.799999999999955,57,0.05,0,50,0.07,0.03,0.6829268292682927,57,0.0,1.1875
206,-28.299999999999343,247,0.05,0,50,0.07,0.03,0.6796116504854369,247,0.0,5.880952380952381
207,281.6500000000002,107,0.05,1,50,0.07,0.03,0.6811594202898551,108,0.0,3.7241379310344827
208,244.05,19,0.05,1,50,0.07,0.03,0.6826923076923077,20,0.0,1.3333333333333333
209,341.34999999999945,113,0.05,1,50,0.07,0.03,0.6842105263157895,114,0.0,2.326530612244898
210,220.14999999999998,17,0.05,1,50,0.07,0.03,0.6857142857142857,18,0.0,2.5714285714285716
211,264.45000000000016,91,0.05,1,50,0.07,0.03,0.6872037914691943,92,0.0,4.0
212,277.2500000000001,195,0.05,1,50,0.07,0.03,0.6886792452830188,196,0.0,6.758620689655173
213,-30.549999999999727,112,0.05,0,50,0.07,0.03,0.6854460093896714,112,0.0,2.6666666666666665
214,58.0000000000028,1000,0.05,0,50,0.07,0.03,0.6822429906542056,1001,0.0,23.27906976744186
215,3.1500000000000625,38,0.05,0,50,0.07,0.03,0.6790697674418604,38,0.0,0.7916666666666666
216,243.85,23,0.05,1,50,0.07,0.03,0.6805555555555556,24,0.0,1.6
217,267.35,33,0.05,1,50,0.07,0.03,0.6820276497695853,34,0.0,1.4782608695652173
218,283.9000000000001,42,0.05,1,50,0.07,0.03,0.6834862385321101,43,0.023255813953488372,1.34375
219,-73.99999999999852,1000,0.05,0,50,0.07,0.03,0.680365296803653,1001,0.002997002997002997,71.5
220,238.45000000000044,171,0.05,1,50,0.07,0.03,0.6818181818181818,172,0.005813953488372093,9.052631578947368
221,232.35,13,0.05,1,50,0.07,0.03,0.6832579185520362,14,0.0,1.2727272727272727
222,69.29999999999819,215,0.05,0,50,0.07,0.03,0.6801801801801802,215,0.0,2.9452054794520546
223,-36.04999999999919,302,0.05,0,50,0.07,0.03,0.6771300448430493,302,0.006622516556291391,8.38888888888889
224,220.45,11,0.05,1,50,0.07,0.03,0.6785714285714286,12,0.0,1.7142857142857142
225,284.8500000000001,43,0.05,1,50,0.07,0.03,0.68,44,0.0,1.5172413793103448
226,359.2000000000001,176,0.05,1,50,0.07,0.03,0.6814159292035398,177,0.0,3.1607142857142856
227,232.35,13,0.05,1,50,0.07,0.03,0.6828193832599119,14,0.0,1.2727272727272727
228,-12.899999999999196,299,0.05,0,50,0.07,0.03,0.6798245614035088,299,0.0,7.119047619047619
229,22.499999999997925,551,0.05,0,50,0.07,0.03,0.6768558951965066,551,0.0,9.839285714285714
